Entropy;Arithmetic;Golomb-Rice;Huffman;Run-length;Run-length + Golomb-Rice;Run-length + Huffman;Arithmetic;Golomb-Rice;Huffman;Run-length;Run-length + Golomb-Rice;Run-length + Huffman;Arithmetic;Golomb-Rice;Huffman;Run-length;Run-length + Golomb-Rice;Run-length + Huffman;
0.940343;0.956718;1.68215;1.57605;2.13069;1.02557;0.928225;1.01741;1.78886;1.67604;2.26587;1.09064;0.987113;0.0163748;0.741803;0.635706;1.19035;0.085229;-0.0121183;
0.878761;0.893957;1.63397;1.52917;1.98347;0.95899;0.86299;1.01729;1.8594;1.74015;2.25712;1.0913;0.982053;0.015196;0.75521;0.650412;1.10471;0.080229;-0.0157715;
0.819996;0.834066;1.58789;1.48485;1.84475;0.894771;0.801046;1.01716;1.93646;1.81081;2.2497;1.09119;0.976891;0.0140699;0.767892;0.664858;1.02475;0.0747752;-0.0189496;
0.76403;0.7771;1.54404;1.44207;1.71191;0.833538;0.742631;1.01711;2.02091;1.88746;2.24063;1.09097;0.971991;0.0130701;0.780006;0.678044;0.94788;0.0695075;-0.0213995;
0.710674;0.722838;1.50247;1.40208;1.58636;0.776214;0.687754;1.01712;2.11415;1.97289;2.23219;1.09222;0.967748;0.0121635;0.7918;0.691407;0.875683;0.0655397;-0.0229204;
0.659899;0.671263;1.46323;1.3654;1.46686;0.722572;0.636038;1.01722;2.21736;2.06911;2.22285;1.09497;0.963842;0.0113644;0.803334;0.705506;0.806957;0.0626739;-0.0238608;
0.611755;0.622328;1.42615;1.3302;1.34422;0.673121;0.587379;1.01728;2.33125;2.17439;2.19733;1.10031;0.960154;0.0105736;0.814395;0.718441;0.73247;0.0613663;-0.024376;
0.56605;0.575891;1.39109;1.28995;1.23275;0.624935;0.542036;1.01738;2.45754;2.27887;2.17782;1.10403;0.957577;0.00984049;0.825041;0.723903;0.666703;0.0588845;-0.0240136;
0.522594;0.531785;1.3582;1.24932;1.12756;0.57922;0.499242;1.01759;2.59896;2.39062;2.15762;1.10836;0.955315;0.00919098;0.835605;0.726728;0.604967;0.0566263;-0.0233519;
0.481302;0.489927;1.32727;1.2142;1.03135;0.537212;0.459267;1.01792;2.75766;2.52274;2.14283;1.11616;0.954218;0.00862464;0.845963;0.732896;0.550048;0.0559095;-0.0220352;
0.441959;0.450103;1.29831;1.17026;0.939396;0.497296;0.421587;1.01843;2.93763;2.6479;2.12553;1.12521;0.953906;0.00814429;0.856352;0.728304;0.497438;0.0553373;-0.0203718;
0.404615;0.412247;1.27135;1.13094;0.853828;0.45839;0.386134;1.01886;3.14211;2.7951;2.11022;1.1329;0.954325;0.0076322;0.866731;0.726324;0.449213;0.0537747;-0.0184807;
0.369301;0.376519;1.24645;1.09167;0.771356;0.420975;0.353009;1.01955;3.37517;2.95605;2.08869;1.13992;0.955885;0.00721812;0.877152;0.72237;0.402056;0.0516738;-0.0162917;
0.335878;0.342704;1.22362;1.05969;0.691498;0.386006;0.321812;1.02032;3.64306;3.15499;2.05878;1.14925;0.958123;0.00682646;0.887743;0.723814;0.35562;0.0501282;-0.0140654;
0.304392;0.31088;1.20293;0.998812;0.616879;0.352227;0.292395;1.02132;3.95193;3.28134;2.0266;1.15715;0.960587;0.00648829;0.898543;0.69442;0.312487;0.0478358;-0.0119969;
0.274678;0.280829;1.18426;0.958572;0.549206;0.320091;0.264766;1.02239;4.31144;3.48981;1.99946;1.16533;0.963916;0.00615108;0.909578;0.683895;0.274528;0.0454134;-0.00991139;
0.246705;0.252575;1.1674;0.899326;0.483401;0.289962;0.238805;1.0238;4.73197;3.64535;1.95943;1.17534;0.967978;0.00587057;0.920694;0.652621;0.236696;0.0432567;-0.00790006;
0.220594;0.226209;1.15233;0.845103;0.424935;0.260595;0.214533;1.02545;5.22374;3.83104;1.92632;1.18133;0.972523;0.00561507;0.931732;0.624509;0.204341;0.0400009;-0.0060612;
0.196479;0.201871;1.13911;0.790818;0.374482;0.233734;0.192257;1.02745;5.79765;4.02496;1.90597;1.18962;0.978514;0.00539261;0.942635;0.59434;0.178003;0.0372558;-0.00422145;
0.174039;0.179226;1.12751;0.740521;0.325935;0.208479;0.171535;1.0298;6.47847;4.25491;1.87277;1.19788;0.985611;0.00518653;0.95347;0.566482;0.151896;0.0344398;-0.00250427;
0.153419;0.158404;1.11741;0.688877;0.282153;0.185415;0.152395;1.03249;7.2834;4.49015;1.83909;1.20855;0.993326;0.00498466;0.963995;0.535457;0.128733;0.0319954;-0.00102398;
0.134488;0.139338;1.10867;0.645405;0.24173;0.164102;0.134855;1.03606;8.24364;4.79899;1.79742;1.2202;1.00273;0.00485025;0.97418;0.510917;0.107243;0.029614;0.000367597;
0.11722;0.121895;1.10105;0.603382;0.206516;0.14464;0.118863;1.03988;9.39301;5.14743;1.76178;1.23392;1.01401;0.00467512;0.983829;0.486162;0.0892961;0.0274202;0.00164267;
0.101722;0.106285;1.09459;0.560719;0.176757;0.12697;0.104423;1.04486;10.7606;5.51226;1.73764;1.24821;1.02655;0.00456293;0.992868;0.458997;0.0750345;0.0252481;0.00270052;
0.0876448;0.092092;1.08909;0.545051;0.148867;0.111436;0.0915374;1.05074;12.4261;6.21886;1.69853;1.27145;1.04441;0.00444718;1.00144;0.457406;0.0612227;0.0237913;0.00389259;
0.0751338;0.0794455;1.08446;0.511736;0.126464;0.0973933;0.0798749;1.05739;14.4337;6.81099;1.68319;1.29626;1.0631;0.00431164;1.00933;0.436602;0.0513305;0.0222595;0.00474108;
0.0639447;0.0681791;1.08062;0.465468;0.106714;0.0843805;0.0693457;1.06622;16.8992;7.27923;1.66884;1.31959;1.08446;0.00423441;1.01667;0.401524;0.0427689;0.0204358;0.00540101;
0.0541442;0.0582837;1.07739;0.428214;0.0888108;0.0726767;0.060137;1.07645;19.8985;7.90878;1.64027;1.34228;1.11068;0.00413958;1.02324;0.37407;0.0346667;0.0185325;0.00599281;
0.0454185;0.0494987;1.07464;0.414614;0.0739357;0.0629111;0.0519226;1.08983;23.6608;9.12873;1.62788;1.38514;1.1432;0.00408015;1.02922;0.369195;0.0285172;0.0174925;0.00650404;
