Entropy;Arithmetic;Golomb-Rice;Huffman;Run-length;Run-length + Golomb-Rice;Run-length + Huffman;Arithmetic;Golomb-Rice;Huffman;Run-length;Run-length + Golomb-Rice;Run-length + Huffman;Arithmetic;Golomb-Rice;Huffman;Run-length;Run-length + Golomb-Rice;Run-length + Huffman;
0.940343;1.09058;1.8064;1.7003;2.13069;1.04279;0.965282;1.15977;1.921;1.80818;2.26587;1.10895;1.02652;0.150237;0.866059;0.759962;1.19035;0.102448;0.0249394;
0.878761;1.02765;1.75823;1.65343;1.98347;0.973693;0.897496;1.16943;2.0008;1.88155;2.25712;1.10803;1.02132;0.148892;0.879466;0.774668;1.10471;0.094932;0.0187349;
0.819996;0.967636;1.71214;1.60911;1.84475;0.908365;0.833135;1.18005;2.08799;1.96234;2.2497;1.10777;1.01602;0.14764;0.892148;0.789114;1.02475;0.088369;0.0131387;
0.76403;0.910636;1.66829;1.56633;1.71191;0.846214;0.772445;1.19188;2.18354;2.05009;2.24063;1.10757;1.01101;0.146606;0.904262;0.8023;0.94788;0.0821838;0.00841522;
0.710674;0.856103;1.62673;1.52634;1.58636;0.787642;0.715414;1.20463;2.289;2.14773;2.23219;1.1083;1.00667;0.145428;0.916056;0.815663;0.875683;0.076968;0.00474024;
0.659899;0.804553;1.58749;1.48966;1.46686;0.7327;0.661655;1.21921;2.40566;2.25741;2.22285;1.11032;1.00266;0.144655;0.92759;0.829762;0.806957;0.0728012;0.00175607;
0.611755;0.755477;1.55041;1.45445;1.34422;0.680905;0.611043;1.23493;2.53436;2.37751;2.19733;1.11304;0.998838;0.143722;0.938651;0.842697;0.73247;0.0691501;-0.000711143;
0.56605;0.70896;1.51535;1.41421;1.23275;0.632027;0.563878;1.25247;2.67705;2.49838;2.17782;1.11656;0.996163;0.14291;0.949297;0.848159;0.666703;0.065977;-0.00217217;
0.522594;0.664836;1.48246;1.37358;1.12756;0.5859;0.519352;1.27219;2.83672;2.62839;2.15762;1.12114;0.993796;0.142242;0.959861;0.850984;0.604967;0.0633055;-0.00324196;
0.481302;0.622811;1.45152;1.33845;1.03135;0.542221;0.47773;1.29401;3.01582;2.7809;2.14283;1.12657;0.992579;0.141509;0.970219;0.857152;0.550048;0.0609192;-0.00357178;
0.441959;0.583021;1.42257;1.29452;0.939396;0.500232;0.438484;1.31918;3.21878;2.92905;2.12553;1.13185;0.992138;0.141062;0.980608;0.85256;0.497438;0.0582733;-0.00347459;
0.404615;0.545245;1.3956;1.25519;0.853828;0.460479;0.401518;1.34756;3.44921;3.1022;2.11022;1.13807;0.992346;0.14063;0.990986;0.85058;0.449213;0.0558644;-0.00309679;
0.369301;0.50941;1.37071;1.21593;0.771356;0.422919;0.366951;1.37939;3.71163;3.29251;2.08869;1.14519;0.993637;0.140109;1.00141;0.846626;0.402056;0.0536178;-0.00235;
0.335878;0.475569;1.34788;1.18395;0.691498;0.38711;0.334413;1.4159;4.013;3.52494;2.05878;1.15253;0.995639;0.139692;1.012;0.84807;0.35562;0.0512328;-0.00146484;
0.304392;0.443722;1.32719;1.12307;0.616879;0.352687;0.303728;1.45773;4.36014;3.68955;2.0266;1.15866;0.997819;0.139331;1.0228;0.818676;0.312487;0.0482951;-0.000663966;
0.274678;0.413721;1.30851;1.08283;0.549206;0.320005;0.27488;1.50621;4.76381;3.94218;1.99946;1.16502;1.00074;0.139044;1.03383;0.808151;0.274528;0.0453273;0.000202149;
0.246705;0.38535;1.29166;1.02358;0.483401;0.288849;0.247795;1.56199;5.23563;4.14901;1.95943;1.17083;1.00442;0.138645;1.04495;0.776877;0.236696;0.042144;0.00109053;
0.220594;0.358994;1.27658;0.969359;0.424935;0.259475;0.222469;1.6274;5.78702;4.39432;1.92632;1.17626;1.0085;0.1384;1.05599;0.748765;0.204341;0.0388813;0.00187531;
0.196479;0.334585;1.26337;0.915074;0.374482;0.232534;0.199241;1.70291;6.43007;4.65737;1.90597;1.18351;1.01406;0.138106;1.06689;0.718596;0.178003;0.0360559;0.00276203;
0.174039;0.311863;1.25176;0.864777;0.325935;0.20733;0.177621;1.79191;7.19242;4.96886;1.87277;1.19128;1.02058;0.137823;1.07773;0.690738;0.151896;0.0332904;0.0035813;
0.153419;0.290985;1.24167;0.813133;0.282153;0.183765;0.157693;1.89666;8.09331;5.30006;1.83909;1.19779;1.02786;0.137565;1.08825;0.659713;0.128733;0.0303454;0.00427391;
0.134488;0.271839;1.23292;0.769661;0.24173;0.162406;0.139404;2.0213;9.16756;5.72292;1.79742;1.20759;1.03656;0.137352;1.09844;0.635173;0.107243;0.027918;0.00491686;
0.11722;0.254332;1.22531;0.727638;0.206516;0.142873;0.12276;2.1697;10.453;6.20745;1.76178;1.21885;1.04726;0.137112;1.10809;0.610418;0.0892961;0.0256531;0.00553973;
0.101722;0.238644;1.21885;0.684975;0.176757;0.125281;0.107746;2.34604;11.9821;6.73378;1.73764;1.2316;1.05921;0.136922;1.11712;0.583253;0.0750345;0.0235591;0.00602347;
0.0876448;0.224399;1.21334;0.669306;0.148867;0.109878;0.0943666;2.56033;13.8439;7.63658;1.69853;1.25367;1.07669;0.136754;1.1257;0.581662;0.0612227;0.0222331;0.00672181;
0.0751338;0.211659;1.20872;0.635992;0.126464;0.0955183;0.0822517;2.81709;16.0875;8.46479;1.68319;1.27131;1.09474;0.136525;1.13358;0.560858;0.0513305;0.0203845;0.0071179;
0.0639447;0.200271;1.20487;0.589724;0.106714;0.0824653;0.0713321;3.13193;18.8424;9.22241;1.66884;1.28963;1.11553;0.136326;1.14093;0.52578;0.0427689;0.0185206;0.00738743;
0.0541442;0.190302;1.20164;0.55247;0.0888108;0.0708028;0.0617582;3.51472;22.1934;10.2037;1.64027;1.30767;1.14063;0.136158;1.1475;0.498326;0.0346667;0.0166586;0.0076141;
0.0454185;0.181451;1.19889;0.53887;0.0739357;0.0610969;0.0532821;3.99509;26.3966;11.8645;1.62788;1.3452;1.17314;0.136033;1.15348;0.493451;0.0285172;0.0156783;0.00786354;
